location_id,city,state,country,address,zip_code,latitude,longitude
114,Montreal,,CA,360 Rue Saint-Jacques,,45.502323,-73.559316
115,Montreal,,CA,199 Rue Jean-Talon E,,45.5364999,-73.61646
116,Montreal,,CA,4902 Boulevard Saint-Laurent,,45.52205,-73.59123
117,Montreal,,CA,1216 Avenue Union,,45.50311,-73.56822
118,Montreal,,CA,276 Rue Sainte-Catherine O,,45.50682,-73.56614
119,Montreal,,CA,48 Rue Dante,,45.53314,-73.61323
120,Montreal,,CA,2175 Rue de la Montagne,,45.49944,-73.57786
121,Montreal,,CA,316 Avenue du Mont-Royal E,,45.52314063890032,-73.58349412679672
122,Montreal,,CA,464 Rue McGill,,45.5005534,-73.5590512
123,Montreal,,CA,630 Rue Cathcart,,45.50303,-73.56838
124,Montreal,,CA,4629 av du parc,,45.517858,-73.591312
125,Montreal,,CA,2021 Rue Saint-Denis,,45.5161779,-73.5657819
126,Montreal,,CA,4869 Avenue du Parc,,45.51888,-73.59341
127,Montreal,,CA,1579 Boulevard Saint-Laurent,,45.51097,-73.56564
128,Montreal,,CA,13 Rue Notre-Dame O,,45.5058610094765,-73.5559096025568
129,Montreal,,CA,3959 Boulevard Saint-Laurent,,45.51664,-73.57791
130,Montreal,,CA,851 Rue Rachel E,,45.52409,-73.57633
131,Montreal,,CA,1201 Boulevard de Maisonneuve E,,45.519202,-73.557836
132,Montreal,,CA,120 Rue McGill,,45.49946,-73.5558
133,Montreal,,CA,701 William St,,45.49843,-73.55785
134,Montreal,,CA,433 Rue Mayor,,45.505822,-73.569301
135,Montreal,,CA,3615 Boulevard Saint-Laurent,,45.514196,-73.5729452
136,Montreal,,CA,2027 Boulevard Saint-Laurent,,45.51174,-73.56731
137,Montreal,,CA,409 Rue McGill,,45.50053,-73.55772
138,Montreal,,CA,2407 Avenue du Mont-Royal E,,45.5384,-73.56974
139,Montreal,,CA,1080 Rue de Bleury,,45.50441,-73.5637
140,Montreal,,CA,300 Rue Ontario E,,45.514822,-73.565401
141,Montreal,,CA,15 Rue de la Commune O,,45.50499,-73.5538
142,Montreal,,CA,3962 Boulevard Saint-Laurent,,45.5166568,-73.579113
143,Montreal,,CA,370 Rue Sainte-Catherine O,,45.50561,-73.56712
144,Montreal,,CA,243 Avenue Mont-Royal O,,45.51778,-73.58888
145,Montreal,,CA,210 Rue Saint Viateur O,,45.523098,-73.601261
146,Montreal,,CA,1059 Rue Gilford,,45.5295503804062,-73.5827571103087
147,Montreal,,CA,1127 Avenue du Mont-Royal E,,45.528427,-73.57911
148,Montreal,,CA,5318 Avenue Du Parc,,45.52088,-73.59997
149,Montreal,,CA,3883 Boulevard Saint Laurent,,45.51623,-73.57725
150,Montreal,,CA,1440 Rue de la Montagne,,45.498525,-73.5764919
151,Montreal,,CA,433 Rue McGill,,45.50074,-73.55806
152,Montreal,,CA,139 Rue Saint-Paul O,,45.5037576,-73.55491567062386
153,Montreal,,CA,16 Rue Maguire,,45.52461,-73.59544
154,Montreal,,CA,1638 Rue Notre-Dame O,,45.489415,-73.567583
155,Montreal,,CA,2020 Rue Crescent,,45.49792,-73.57789
156,Montreal,,CA,3712 Boulevard Saint-Laurent,,45.51456,-73.57461
157,Montreal,,CA,1237 Rue Atateken,,45.516995,-73.5556896
158,Montreal,,CA,5064 Avenue Papineau,,45.5354763,-73.5807972
